Symbol,Name,Price,Change,ChangePercent,Day's Volume
KIE,Kier Group,1398,21,1.48,150953
KGF,Kingfisher,345.7,5,1.43,7741225
LAD,Ladbrokes,98.85,2.75,2.71,11166073
LRD,Laird,372.1,6.7,1.77,439145
LRE,Lancashire Holdings Limited,630.5,2.5,0.40,414402
LAND,Land Securities Group,1228,32,2.54,2610463
LGEN,Legal & General Group,248,5.7,2.25,19151647
LLOY,Lloyds Banking Group,76.08,0.6,0.78,153000000
LSE,London Stock Exchange Group,2462,74,2.92,891351
LMP,LondonMetric Property,156.6,2,1.26,1160336
LMI,Lonmin,34.47,1.89,5.20,5429147
LOOK,Lookers,158,3.3,2.05,2215587
EMG,Man Group,160.1,7.3,4.78,15188841
MKS,Marks & Spencer Group,500.5,1.5,0.30,6426119
MSLH,Marshalls,311,0,0.00,219684
MARS,Marston's,151.8,1,0.65,2530350
MGGT,Meggitt,455.7,8.3,1.79,4634565
MRO,Melrose Industries,259,1.5,0.58,5209431
MRC,Mercantile Investment Trust (The),1691,28,1.63,143420
MERL,Merlin Entertainments,380.2,4.2,1.09,3316575
MPI,Michael Page International,490.9,8.2,1.64,1374094
MCRO,Micro Focus International,1263,24,1.86,366288
MLC,Millennium & Copthorne Hotels,555.5,14.5,2.54,612006
MAB,Mitchells & Butlers,361.5,7.2,1.95,281668
MTO,Mitie Group,288.5,3.2,1.10,879257
MNDI,Mondi,1405,17,1.20,2203114
MONY,Moneysupermarket.com Group,317,2.6,0.83,3149252
MNKS,Monks Inv Trust,381.5,3.2,0.83,516581
MGAM,Morgan Advanced Materials,326.5,1,0.31,353177
MRW,Morrison (Wm) Supermarkets,165.3,1.6,0.96,8038722
MYI,Murray International Trust,810,18,2.17,192379
NEX,National Express Group,293,1,0.34,814430
NG,National Grid,825.8,19.2,2.27,7274113
NBLS,NB Global Floating Rate Income F..,94.5,0.4,0.42,1776213
NXT,Next,7590,90,1.17,988942
NMC,NMC Health,727.5,3.5,0.48,70013
NTG,Northgate,498,1,0.20,118954
NOG,Nostrum Oil & Gas,475,0.5,0.11,166478
OCDO,Ocado Group,335.1,3.6,1.09,2013405
OML,Old Mutual,192.3,2.2,1.13,16418120
OSB,OneSavings Bank,363.9,46.1,14.51,1005615
OPHR,Ophir Energy,87.95,0.95,1.09,3614199
PIC,Pace,330.4,1.7,0.51,470891
PAG,Paragon Group Of Companies,389.9,2.7,0.69,484808
PAY,PayPoint,1004,9,0.89,37070
PSON,Pearson,1082,24,2.17,2496466
PNN,Pennon Group,722.5,14,1.90,1088670
PLI,Perpetual Income & Growth Inv Tr..,397.1,2.9,0.72,206702
PSN,Persimmon,2003,55,2.67,2108199
PDL,Petra Diamonds Ltd.(DI),129.2,10.8,7.71,2303024
PFC,Petrofac Ltd.,794,27,3.52,3225835
PETS,Pets at Home Group,279.3,1.8,0.64,603331
PHNX,Phoenix Group Holdings (DI),862.5,5.5,0.63,679126
PTEC,Playtech,891,8.5,0.94,1260386
PCT,Polar Capital Technology Trust,541.5,8.5,1.55,381082
POLY,Polymetal International,460.8,0.5,0.11,335341
PLND,Poundland Group,344,1.5,0.43,269710
PFL,Premier Farnell,129,1.1,0.86,868472
PMO,Premier Oil,93.75,1.55,1.68,6404360
PFG,Provident Financial,2815,19,0.67,339651
PRU,Prudential,1394,17.5,1.24,5704622
PZC,PZ Cussons,309.4,0.7,0.23,305738
QQ,QinetiQ Group,225,1.7,0.75,1731992
RRS,Randgold Resources Ltd.,3817,184,4.60,832147
RNK,Rank Group,258,6.6,2.49,145019
RAT,Rathbone Brothers,2170,55,2.47,26750
RB,Reckitt Benckiser Group,5529,139,2.45,1831065
RDI,Redefine International,52.7,1.05,2.03,499301
RDW,Redrow,459.8,0.6,0.13,612696
RGU,Regus,272.4,0.9,0.33,2648082
REL,Relx plc,1011,14,1.37,5345197
RSW,Renishaw,2104,0,0.00,38805
RTO,Rentokil Initial,145,1,0.68,2219494
RTN,Restaurant Group,671.5,1.5,0.22,464128
REX,Rexam,530,3,0.56,1967758
RMV,Rightmove,3656,40,1.11,250416
RIO,Rio Tinto,2200,44.5,1.98,6318048
RCP,RIT Capital Partners,1511,20,1.31,118585
RSE,Riverstone Energy Limited,839,25,2.89,14460
RR,Rolls-Royce Holdings,714.5,9.5,1.31,7300165
ROR,Rotork,198.3,1.2,0.60,2378237
RBS,Royal Bank of Scotland Group,324.1,2.9,0.90,20391508
RDSA,Royal Dutch Shell 'A',1575,44,2.72,8570852
RDSB,Royal Dutch Shell 'B',1585.5,48,2.94,9670239
RMG,Royal Mail,453.7,5.5,1.20,3252893
RPC,RPC Group,635,3,0.47,1073982
RSA,RSA Insurance Group,512.5,2,0.39,9574311
SAB,SABMiller,2938,67,2.23,3540019
SAGA,Saga,201.4,0.9,0.45,301778
SGE,Sage Group,495,8.5,1.69,3148056
SBRY,Sainsbury (J),235.9,1.8,0.76,9812320
SVS,Savills,886.5,32.5,3.54,380624
SDR,Schroders,2740,32,1.15,661849
SCIN,Scottish Inv Trust,571,5.5,0.95,43606
SMT,Scottish Mortgage Inv Trust,238.9,3.4,1.40,2280018
SGRO,SEGRO,416.2,9.7,2.28,1661470
SNR,Senior,279.9,7.4,2.58,940071
SRP,Serco Group,113.8,0.5,0.44,4100491
SVT,Severn Trent,2045,37,1.78,1501061
SHB,Shaftesbury,901,13.5,1.48,621329
SHAW,Shawbrook Group,326,0.1,0.03,133894
SHP,Shire Plc,4736,72,1.50,3150867
SHI,SIG,182.8,1.9,1.03,1010375
SKY,Sky,1015,23,2.22,3871540
SN,Smith & Nephew,1088,25,2.25,3257334
SMDS,Smith (DS),380.5,1.6,0.42,2717524
SMIN,Smiths Group,1059,31,2.84,2185815
SXS,Spectris,1747,6,0.34,268980
SPX,Spirax-Sarco Engineering,3056,58,1.86,172051
SPI,Spire Healthcare Group,348.7,18.2,5.51,1516338
SPD,Sports Direct International,758.5,18.5,2.38,3527417
SSE,SSE,1420,24,1.66,2564607
SSPG,SSP Group,290.9,1.9,0.66,389070
STJ,St James's Place,901.5,12.5,1.37,2295271
SMP,St. Modwen Properties,449.3,3.9,0.86,291184
SGC,Stagecoach Group,365,9.2,2.46,1457424
STAN,Standard Chartered,707.3,37.7,5.06,16710707
SL,Standard Life,407.5,7,1.69,4149503
SGP,Supergroup,1424,21,1.45,135101
SVI,SVG Capital,450.4,2.6,0.57,311429
SYR,Synergy Health,1600,2,0.12,248035
SYNT,Synthomer,335,3.1,0.92,415404
TALK,TalkTalk Telecom Group,295.7,2.1,0.72,1012157
TATE,Tate & Lyle,502,5.5,1.08,1469162
TW,Taylor Wimpey,191,2.6,1.34,16968772
TED,Ted Baker,2980,115,3.72,41063
TCY,Telecity Group,1050,9,0.85,176077
TEP,Telecom Plus,1063,12,1.14,141625
TMPL,Temple Bar Inv Trust,1088,21,1.89,91316
TEM,Templeton Emerging Markets Inv T..,395,2.5,0.63,620543
TSCO,Tesco,186.2,0.2,0.11,26348688
TCG,Thomas Cook Group,103.8,0.5,0.48,5284457
TRY,TR Property Inv Trust,303.2,3.2,1.07,385074
TPK,Travis Perkins,1973,43,2.13,575159
BBOX,Tritax Big Box Reit,116.5,0,0.00,932863
TUI,TUI AG Reg Shs (DI),1144,5,0.44,1613912
TLPR,Tullett Prebon,372.3,12.7,3.30,797586
TLW,Tullow Oil,188.8,2,1.07,8566146
UBM,UBM,482.5,6.2,1.27,2068974
UDG,UDG Healthcare Public Limited Co..,493.4,15.6,3.06,435671
UKCM,UK Commercial Property Trust,87.4,0.05,0.06,839271
ULE,Ultra Electronics Holdings,1720,12,0.69,172857
ULVR,Unilever,2544,41,1.59,3816432
UTG,Unite Group,628,12,1.88,918300
UU,United Utilities Group,833.5,16,1.88,2217457
VEC,Vectura Group,167,1.3,0.77,541360
VED,Vedanta Resources,500.5,7.4,1.50,989496
VSVS,Vesuvius,386,0,0.00,289251
VCT,Victrex plc,1690,61,3.48,208083
VM,Virgin Money Holdings (UK),415,5.1,1.24,449957
VOD,Vodafone Group,216.8,2.4,1.09,71865708
WEIR,Weir Group,1358,26,1.95,2151208
JDW,Wetherspoon (J.D.),745,3,0.40,161098
SMWH,WH Smith,1495,7,0.47,219106
WTB,Whitbread,4820,56,1.15,864549
WMH,William Hill,355.9,10.8,2.95,5618070
WTAN,Witan Inv Trust,720,5,0.69,185290
WIZZ,Wizz Air Holdings,1860,15,0.80,109374
WOS,Wolseley,4045,40,0.98,993410
WG,Wood Group (John),582.5,2,0.34,1824648
WPCT,Woodford Patient Capital Trust,110.9,1.9,1.74,5050958
WKP,Workspace Group,894.5,15,1.65,193439
WWH,Worldwide Healthcare Trust,1817,2,0.11,75346
WPP,WPP,1311,51,3.74,10473403
ZPLA,Zoopla Property Group (WI),252.5,2.5,1.00,270876
